▽Event: eventRoom = Kitchen, eventName = SwitchedOnEvent, eventTime = 7, DeviceName = Runner 3000->SWITCHED_OFF, isNeedsEvent = false
▽Event: eventRoom = Kitchen, eventName = Unusable device, eventTime = 7, DeviceName = Runner 3000->DEVICE_UNUSABLE, isNeedsEvent = false
▽Event: eventRoom = Kitchen, eventName = SwitchedOnEvent, eventTime = 7, DeviceName = Washy washy->SWITCHED_OFF, isNeedsEvent = false
▽Event: eventRoom = Kitchen, eventName = SwitchedOnEvent, eventTime = 7, DeviceName = Washy washy->SWITCHED_ON, isNeedsEvent = false
▽Event: eventRoom = BedRoom#2, eventName = SwitchedOnEvent, eventTime = 7, DeviceName = Runner 3000->SWITCHED_OFF, isNeedsEvent = false
▽Event: eventRoom = BedRoom#2, eventName = SwitchedOnEvent, eventTime = 7, DeviceName = Runner 3000->SWITCHED_ON, isNeedsEvent = false
▽Event: eventRoom = Kitchen, eventName = SwitchedOnEvent, eventTime = 7, DeviceName = Runner 3000->SWITCHED_OFF, isNeedsEvent = false
▽Event: eventRoom = Kitchen, eventName = SwitchedOnEvent, eventTime = 7, DeviceName = Washy washy->SWITCHED_ON, isNeedsEvent = false
▽Event: eventRoom = Kitchen, eventName = SwitchedOnEvent, eventTime = 8, DeviceName = PS4->SWITCHED_OFF, isNeedsEvent = false
▽Event: eventRoom = Kitchen, eventName = SwitchedOnEvent, eventTime = 8, DeviceName = PS4->SWITCHED_ON, isNeedsEvent = false
▽Event: eventRoom = BedRoom#1, eventName = SwitchedOnEvent, eventTime = 8, DeviceName = PS4->SWITCHED_OFF, isNeedsEvent = false
▽Event: eventRoom = BedRoom#1, eventName = SwitchedOnEvent, eventTime = 8, DeviceName = PS4->SWITCHED_ON, isNeedsEvent = false
▽Event: eventRoom = Kitchen, eventName = SwitchedOnEvent, eventTime = 8, DeviceName = Runner 3000->SWITCHED_ON, isNeedsEvent = false
▽Event: eventRoom = Kitchen, eventName = Unusable device, eventTime = 8, DeviceName = Runner 3000->DEVICE_UNUSABLE, isNeedsEvent = false
▽Event: eventRoom = Kitchen, eventName = SwitchedOnEvent, eventTime = 8, DeviceName = Washy washy->SWITCHED_OFF, isNeedsEvent = false
▽Event: eventRoom = Kitchen, eventName = SwitchedOnEvent, eventTime = 8, DeviceName = Washy washy->SWITCHED_ON, isNeedsEvent = false
▽Event: eventRoom = Attic, eventName = SwitchedOnEvent, eventTime = 8, DeviceName = PS4->SWITCHED_OFF, isNeedsEvent = false
▽Event: eventRoom = Attic, eventName = SwitchedOnEvent, eventTime = 8, DeviceName = PS4->SWITCHED_ON, isNeedsEvent = false
